612,623,-2147472937,-2147472878,55
626,636,-2147472878,-2147472795,55
640,677,-2147472795,-2147472575,55
680,700,-2147472575,-2147472453,55
760,795,-2147472453,-2147472293,55
803,848,-2147472293,-2147472136,55
857,905,-2147472136,-2147471918,55
914,1029,-2147471918,-2147471178,55
1044,1066,-2147471178,-2147471055,55
1080,1102,-2147471055,-2147470947,55
1111,1132,-2147470947,-2147470851,55
1144,1163,-2147470851,-2147470757,55
1171,1178,-2147470757,-2147470731,55
1183,1271,-2147470731,-2147470327,55
1274,1304,-2147470327,-2147470213,55
1313,1368,-2147470213,-2147470024,55
1372,1421,-2147470024,-2147469777,55
1425,1490,-2147469777,-2147469369,55
1497,1505,-2147469369,-2147469293,55
1510,1524,-2147469293,-2147469184,55
1527,1567,-2147469184,-2147468949,55
1584,1837,-2147468949,-2147467600,55
1844,1935,-2147467600,-2147467093,55
1938,1953,-2147467093,-2147466982,55
1956,1964,-2147466982,-2147466967,55
50,81,-2147466967,-2147466856,56
84,103,-2147466856,-2147466782,56
106,142,-2147466782,-2147466289,56
146,189,-2147466289,-2147466139,56
196,203,-2147466139,-2147466091,56
206,211,-2147466091,-2147466059,56
214,219,-2147466059,-2147466027,56
222,227,-2147466027,-2147465995,56
230,235,-2147465995,-2147465963,56
238,243,-2147465963,-2147465931,56
246,251,-2147465931,-2147465899,56
255,267,-2147465899,-2147465841,56
270,284,-2147465841,-2147465777,56
287,301,-2147465777,-2147465713,56
304,318,-2147465713,-2147465649,56
321,326,-2147465649,-2147465622,56
329,334,-2147465622,-2147465595,56
337,342,-2147465595,-2147465568,56
345,350,-2147465568,-2147465541,56
353,405,-2147465541,-2147465326,56
410,417,-2147465326,-2147465280,56
421,427,-2147465280,-2147465258,56
436,465,-2147465258,-2147465100,56
474,512,-2147465100,-2147464863,56
522,539,-2147464863,-2147464723,56
547,576,-2147464723,-2147464550,56
603,708,-2147464550,-2147463889,56
734,750,-2147463889,-2147463821,56
759,856,-2147463821,-2147463498,56
861,871,-2147463498,-2147463404,56
882,1096,-2147463404,-2147462607,56
1113,1179,-2147462607,-2147462258,56
1193,1230,-2147462258,-2147462112,56
1241,1273,-2147462112,-2147461951,56
1277,1303,-2147461951,-2147461821,56
1306,1321,-2147461821,-2147461731,56
1324,1332,-2147461731,-2147461716,56
59,62,-2147461716,-2147461704,57
64,71,-2147461704,-2147461683,57
74,86,-2147461683,-2147461627,57
90,112,-2147461627,-2147461530,57
115,131,-2147461530,-2147461424,57
137,191,-2147461424,-2147461220,57
194,197,-2147461220,-2147461214,57
200,204,-2147461214,-2147461196,57
207,215,-2147461196,-2147461181,57
55,59,-2147461181,-2147461168,58
61,66,-2147461168,-2147461149,58
76,81,-2147461149,-2147461122,58
84,106,-2147461122,-2147461007,58
110,138,-2147461007,-2147460890,58
142,170,-2147460890,-2147460771,58
173,181,-2147460771,-2147460733,58
190,193,-2147460733,-2147460725,58
196,199,-2147460725,-2147460718,58
202,292,-2147460718,-2147460287,58
300,313,-2147460287,-2147460223,58
317,332,-2147460223,-2147460153,58
335,354,-2147460153,-2147460057,58
357,376,-2147460057,-2147459962,58
379,388,-2147459962,-2147459917,58
391,406,-2147459917,-2147459877,58
409,415,-2147459877,-2147459852,58
418,426,-2147459852,-2147459837,58
32,35,-2147459837,-2147459825,59
46,49,-2147459825,-2147459806,59
52,59,-2147459806,-2147459737,59
62,82,-2147459737,-2147459637,59
85,93,-2147459637,-2147459588,59
97,190,-2147459588,-2147459039,59
194,280,-2147459039,-2147458494,59
288,298,-2147458494,-2147458452,59
301,309,-2147458452,-2147458437,59
46,49,-2147458437,-2147458425,60
52,59,-2147458425,-2147458393,60
62,70,-2147458393,-2147458344,60
77,109,-2147458344,-2147458214,60
113,147,-2147458214,-2147458062,60
151,182,-2147458062,-2147457916,60
185,188,-2147457916,-2147457908,60
195,200,-2147457908,-2147457879,60
203,211,-2147457879,-2147457864,60
40,45,-2147457864,-2147457838,61
48,53,-2147457838,-2147457811,61
59,110,-2147457811,-2147457554,61
114,164,-2147457554,-2147457287,61
167,170,-2147457287,-2147457279,61
177,182,-2147457279,-2147457250,61
185,193,-2147457250,-2147457235,61
36,40,-2147457235,-2147457221,62
52,58,-2147457221,-2147457201,62
61,67,-2147457201,-2147457173,62
70,83,-2147457173,-2147457107,62
87,135,-2147457107,-2147456864,62
138,150,-2147456864,-2147456801,62
154,188,-2147456801,-2147456651,62
191,195,-2147456651,-2147456630,62
199,205,-2147456630,-2147456590,62
209,224,-2147456590,-2147456500,62
228,236,-2147456500,-2147456442,62
240,245,-2147456442,-2147456414,62
248,263,-2147456414,-2147456335,62
267,290,-2147456335,-2147456181,62
295,350,-2147456181,-2147455894,62
355,406,-2147455894,-2147455669,62
410,446,-2147455669,-2147455461,62
449,452,-2147455461,-2147455453,62
455,463,-2147455453,-2147455397,62
466,474,-2147455397,-2147455382,62
36,44,-2147455382,-2147455352,63
46,55,-2147455352,-2147455330,63
57,62,-2147455330,-2147455323,63
85,123,-2147455323,-2147455139,63
126,137,-2147455139,-2147455084,63
140,166,-2147455084,-2147454935,63
173,189,-2147454935,-2147454858,63
196,211,-2147454858,-2147454793,63
219,262,-2147454793,-2147454548,63
268,289,-2147454548,-2147454406,63
295,389,-2147454406,-2147453922,63
394,401,-2147453922,-2147453909,63
411,460,-2147453909,-2147453769,63
471,674,-2147453769,-2147453006,63
679,686,-2147453006,-2147452979,63
689,696,-2147452979,-2147452929,63
701,795,-2147452929,-2147452542,63
798,924,-2147452542,-2147451925,63
928,980,-2147451925,-2147451689,63
982,985,-2147451689,-2147451683,63
990,1050,-2147451683,-2147451431,63
1054,1063,-2147451431,-2147451411,63
1065,1068,-2147451411,-2147451403,63
1074,1155,-2147451403,-2147451008,63
1164,1289,-2147451008,-2147450383,63
1291,1306,-2147450383,-2147450351,63
1310,1315,-2147450351,-2147450332,63
1318,1325,-2147450332,-2147450291,63
1328,1333,-2147450291,-2147450266,63
1336,1352,-2147450266,-2147450186,63
1355,1363,-2147450186,-2147450171,63
43,84,-2147450171,-2147450056,64
86,92,-2147450056,-2147450032,64
121,143,-2147450032,-2147449931,64
146,167,-2147449931,-2147449808,64
172,190,-2147449808,-2147449722,64
214,325,-2147449722,-2147449278,64
328,363,-2147449278,-2147449096,64
366,371,-2147449096,-2147449063,64
374,407,-2147449063,-2147448846,64
410,430,-2147448846,-2147448721,64
439,475,-2147448721,-2147448519,64
479,488,-2147448519,-2147448442,64
491,499,-2147448442,-2147448400,64
513,680,-2147448400,-2147447681,64
683,714,-2147447681,-2147447487,64
719,841,-2147447487,-2147446939,64
846,1045,-2147446939,-2147445974,64
1050,1144,-2147445974,-2147445548,64
1149,1251,-2147445548,-2147445062,64
1256,1388,-2147445062,-2147444427,64
1393,1459,-2147444427,-2147444113,64
1463,1478,-2147444113,-2147444058,64
1489,1593,-2147444058,-2147443495,64
1596,1615,-2147443495,-2147443381,64
1618,1631,-2147443381,-2147443323,64
1634,1646,-2147443323,-2147443272,64
1651,1657,-2147443272,-2147443252,64
1660,1672,-2147443252,-2147443201,64
1675,1679,-2147443201,-2147443178,64
1682,1697,-2147443178,-2147443114,64
1700,1738,-2147443114,-2147442901,64
1741,1848,-2147442901,-2147442517,64
1851,1931,-2147442517,-2147442212,64
1934,1937,-2147442212,-2147442205,64
1940,1943,-2147442205,-2147442197,64
1945,1948,-2147442197,-2147442189,64
1951,1954,-2147442189,-2147442181,64
1957,1960,-2147442181,-2147442173,64
1963,1966,-2147442173,-2147442165,64
1969,1972,-2147442165,-2147442157,64
1975,1984,-2147442157,-2147442099,64
1991,1998,-2147442099,-2147442059,64
2001,2037,-2147442059,-2147441912,64
2040,2048,-2147441912,-2147441897,64
50,57,-2147441897,-2147441869,65
59,64,-2147441869,-2147441860,65
68,81,-2147441860,-2147441818,65
85,90,-2147441818,-2147441801,65
103,113,-2147441801,-2147441755,65
117,169,-2147441755,-2147441439,65
179,186,-2147441439,-2147441404,65
194,240,-2147441404,-2147441258,65
243,246,-2147441258,-2147441251,65
250,355,-2147441251,-2147440770,65
